old_country,country,ISO_3digit
Afghanistan,Afghanistan,AFG
Åland Islands,Åland Islands,ALA
Albania,Albania,ALB
Algeria,Algeria,DZA
American Samoa,American Samoa,ASM
Andorra,Andorra,AND
Angola,Angola,AGO
Anguilla,Anguilla,AIA
Antarctica,Antarctica,ATA
Antigua and Barbuda,Antigua and Barbuda,ATG
Argentina,Argentina,ARG
Armenia,Armenia,ARM
Aruba,Aruba,ABW
Australia,Australia,AUS
Austria,Austria,AUT
Azerbaijan,Azerbaijan,AZE
Bahamas (the),Bahamas(the),BHS
Bahrain,Bahrain,BHR
Bangladesh,Bangladesh,BGD
Barbados,Barbados,BRB
Belarus,Belarus,BLR
Belgium,Belgium,BEL
Belize,Belize,BLZ
Benin,Benin,BEN
Bermuda,Bermuda,BMU
Bhutan,Bhutan,BTN
Bolivia (Plurinational State of),Bolivia,BOL
"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",BES
Bosnia and Herzegovina,Bosnia and Herzegovina,BIH
Botswana,Botswana,BWA
Bouvet Island,Bouvet Island,BVT
Brazil,Brazil,BRA
British Indian Ocean Territory (the),British Indian Ocean Territory (the),IOT
Brunei Darussalam,Brunei Darussalam,BRN
Bulgaria,Bulgaria,BGR
Burkina Faso,Burkina Faso,BFA
Burundi,Burundi,BDI
Cabo Verde,Cabo Verde,CPV
Cambodia,Cambodia,KHM
Cameroon,Cameroon,CMR
Canada,Canada,CAN
Cayman Islands (the),Cayman Islands (the),CYM
Central African Republic (the),CentralAfricanRepublic(the),CAF
Chad,Chad,TCD
Chile,Chile,CHL
China,China,CHN
Christmas Island,Christmas Island,CXR
Cocos (Keeling) Islands (the),Cocos (Keeling) Islands (the),CCK
Colombia,Colombia,COL
Comoros (the),Comoros,COM
Congo (the Democratic Republic of the),"Congo,Dem.Rep.",COD
Congo (the),"Congo,Rep.",COG
Cook Islands (the),CookIslands(the),COK
Costa Rica,Costa Rica,CRI
Côte d'Ivoire,Coted'Ivoire,CIV
Croatia,Croatia,HRV
Cuba,Cuba,CUB
Curaçao,Curaçao,CUW
Cyprus,Cyprus,CYP
Czechia,CzechRepublic,CZE
Denmark,Denmark,DNK
