"","ISO_3digit","country","cluster"
"1","AFG","afghanistan","6"
"3","ALB","albania","5"
"4","DZA","algeria","1"
"7","AGO","angola","5"
"11","ARG","argentina","3"
"12","ARM","armenia","5"
"16","AZE","azerbaijan","5"
"19","BGD","bangladesh","2"
"21","BLR","belarus","3"
"23","BLZ","belize","5"
"24","BEN","benin","5"
"26","BTN","bhutan","5"
"27","BOL","bolivia","5"
"29","BIH","bosniaandherzegovina","4"
"30","BWA","botswana","3"
"32","BRA","brazil","3"
"35","BGR","bulgaria","3"
"36","BFA","burkinafaso","6"
"37","BDI","burundi","6"
"39","KHM","cambodia","5"
"40","CMR","cameroon","5"
"44","TCD","chad","1"
"46","CHN","china","3"
"49","COL","colombia","3"
"50","COM","comoros","1"
"51","COD","congo,dem.rep.","6"
"52","COG","congo,rep.","1"
"54","CRI","costarica","3"
"55","CIV","coted'ivoire","1"
"62","DJI","djibouti","6"
"63","DMA","dominica","3"
"64","DOM","dominicanrepublic","3"
"65","ECU","ecuador","3"
"68","SLV","elsalvador","5"
"72","SWZ","eswatini","1"
"73","ETH","ethiopia","1"
"76","FJI","fiji","3"
"82","GAB","gabon","4"
"83","GMB","gambia,the","6"
"84","GEO","georgia","5"
"86","GHA","ghana","5"
"90","GRD","grenada","4"
"93","GTM","guatemala","5"
"96","GNB","guinea-bissau","1"
"97","GUY","guyana","1"
"98","HTI","haiti","6"
"101","HND","honduras","5"
"105","IND","india","5"
"106","IDN","indonesia","5"
"108","IRQ","iraq","4"
"113","JAM","jamaica","5"
"116","JOR","jordan","5"
"117","KAZ","kazakhstan","3"
"118","KEN","kenya","5"
"119","KIR","kiribati","5"
"124","KGZ","kyrgyzrepublic","5"
"125","LAO","laopdr","5"
"127","LBN","lebanon","2"
"128","LSO","lesotho","5"
"129","LBR","liberia","1"
"130","LBY","libya","3"
"135","MDG","madagascar","5"
"136","MWI","malawi","6"
"137","MYS","malaysia","3"
"138","MDV","maldives","2"
"139","MLI","mali","1"
"145","MUS","mauritius","2"
"147","MEX","mexico","3"
"148","FSM","micronesia,fed.sts.","1"
"149","MDA","moldova","5"
"151","MNG","mongolia","5"
"152","MNE","montenegro","3"
"154","MAR","morocco","5"
"155","MOZ","mozambique","6"
"156","MMR","myanmar","1"
"157","NAM","namibia","3"
"158","NRU","nauru","2"
"159","NPL","nepal","1"
"163","NIC","nicaragua","5"
"165","NGA","nigeria","1"
"172","PAK","pakistan","5"
"176","PNG","papuanewguinea","5"
"177","PRY","paraguay","3"
"178","PER","peru","3"
"179","PHL","philippines","5"
"187","ROU","romania","3"
"188","RUS","russianfederation","3"
"189","RWA","rwanda","5"
"194","WSM","samoa","5"
"198","SEN","senegal","1"
"199","SRB","serbia","3"
"201","SLE","sierraleone","1"
"206","SLB","solomonislands","6"
"207","SOM","somalia","1"
"208","ZAF","southafrica","3"
"212","LKA","srilanka","5"
"219","SUR","suriname","3"
"225","TJK","tajikistan","5"
"226","TZA","tanzania","1"
"227","THA","thailand","3"
"228","TLS","timor-leste","1"
"229","TGO","togo","6"
"231","TON","tonga","5"
"233","TUN","tunisia","5"
"234","TUR","turkey","3"
"235","TKM","turkmenistan","3"
"237","TUV","tuvalu","6"
"238","UGA","uganda","1"
"239","UKR","ukraine","5"
"245","UZB","uzbekistan","5"
"246","VUT","vanuatu","5"
"248","VNM","vietnam","5"
"254","ZMB","zambia","1"
"255","ZWE","zimbabwe","1"
"110","AND","andorra","High Income"
"2","ATG","antiguaandbarbuda","High Income"
"310","ABW","aruba","High Income"
"410","AUS","australia","High Income"
"5","AUT","austria","High Income"
"6","BHR","bahrain","High Income"
"71","BRB","barbados","High Income"
"8","BEL","belgium","High Income"
"9","BMU","bermuda","High Income"
"10","BRN","bruneidarussalam","High Income"
"111","CAN","canada","High Income"
"121","CHL","chile","High Income"
"13","HRV","croatia","High Income"
"14","CYP","cyprus","High Income"
