geotype,strategy,scenario,metric,per_user_cost
Rural 1,Hybrid,Scenario 1 (30 Mbps),Macro RAN,59.94526018
Rural 1,Small Cells,Scenario 1 (30 Mbps),Macro RAN,0
Rural 1,Spectrum Integration,Scenario 1 (30 Mbps),Macro RAN,59.94526018
Rural 1,Hybrid,Scenario 2 (100 Mbps),Macro RAN,59.94526018
Rural 1,Small Cells,Scenario 2 (100 Mbps),Macro RAN,0
Rural 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro RAN,59.94526018
Rural 1,Hybrid,Scenario 3 (300 Mbps),Macro RAN,59.94526018
Rural 1,Small Cells,Scenario 3 (300 Mbps),Macro RAN,0
Rural 1,Spectrum Integration,Scenario 3 (300 Mbps),Macro RAN,59.94526018
Rural 1,Hybrid,Scenario 2 (100 Mbps),Macro Backhaul,3.381961082
Rural 1,Small Cells,Scenario 2 (100 Mbps),Macro Backhaul,0
Rural 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro Backhaul,3.381961082
Rural 1,Hybrid,Scenario 3 (300 Mbps),Macro Backhaul,3.381961082
Rural 1,Small Cells,Scenario 3 (300 Mbps),Macro Backhaul,0
Rural 1,Spectrum Integration,Scenario 3 (300 Mbps),Macro Backhaul,3.381961082
Rural 1,Hybrid,Scenario 2 (100 Mbps),Small Cell Civil Works,115.3958979
Rural 1,Small Cells,Scenario 2 (100 Mbps),Small Cell Civil Works,115.3958979
Rural 1,Spectrum Integration,Scenario 2 (100 Mbps),Small Cell Civil Works,0
Rural 1,Hybrid,Scenario 3 (300 Mbps),Small Cell Civil Works,196.6050343
Rural 1,Small Cells,Scenario 3 (300 Mbps),Small Cell Civil Works,198.8062745
Rural 1,Spectrum Integration,Scenario 3 (300 Mbps),Small Cell Civil Works,0
Rural 1,Spectrum Integration,Scenario 2 (100 Mbps),Macro Civil Works,15.21882487
Rural 1,Hybrid,Scenario 3 (300 Mbps),Macro Civil Works,15.21882487
Rural 1,Hybrid,Scenario 1 (30 Mbps),Small Cell RAN,22.19151882
Rural 1,Small Cells,Scenario 1 (30 Mbps),Small Cell RAN,22.19151882
Rural 1,Spectrum Integration,Scenario 1 (30 Mbps),Small Cell RAN,0
