country,iso3,gdp,income_group
Aruba,ABW,,HIC
Andorra,AND,3236543909,HIC
United Arab Emirates,ARE,4.14E+11,HIC
Antigua and Barbuda,ATG,1610574074,HIC
Australia,AUS,1.43E+12,HIC
Austria,AUT,4.55E+11,HIC
Belgium,BEL,5.43E+11,HIC
Bahrain,BHR,37746196809,HIC
"Bahamas, The",BHS,12424500000,HIC
Bermuda,BMU,,HIC
Barbados,BRB,5145000000,HIC
Brunei Darussalam,BRN,13567351175,HIC
Canada,CAN,1.71E+12,HIC
Switzerland,CHE,7.05E+11,HIC
Channel Islands,CHI,,HIC
Chile,CHL,2.98E+11,HIC
Curacao,CUW,3127908038,HIC
Cayman Islands,CYM,,HIC
Cyprus,CYP,24961988663,HIC
Czech Republic,CZE,2.45E+11,HIC
Germany,DEU,3.95E+12,HIC
Denmark,DNK,3.56E+11,HIC
Spain,ESP,1.42E+12,HIC
Estonia,EST,30732144529,HIC
Finland,FIN,2.77E+11,HIC
France,FRA,2.78E+12,HIC
Faroe Islands,FRO,,HIC
United Kingdom,GBR,2.86E+12,HIC
Gibraltar,GIB,,HIC
Greece,GRC,2.18E+11,HIC
Greenland,GRL,,HIC
Guam,GUM,5920000000,HIC
"Hong Kong SAR, China",HKG,3.63E+11,HIC
Croatia,HRV,60971699315,HIC
Hungary,HUN,1.58E+11,HIC
Isle of Man,IMN,,HIC
Ireland,IRL,3.82E+11,HIC
Iceland,ISL,25878475760,HIC
Israel,ISR,3.71E+11,HIC
Italy,ITA,2.08E+12,HIC
Japan,JPN,4.97E+12,HIC
St. Kitts and Nevis,KNA,1010822222,HIC
"Korea, Rep.",KOR,1.62E+12,HIC
Kuwait,KWT,1.41E+11,HIC
Liechtenstein,LIE,,HIC
Lithuania,LTU,53429066429,HIC
Luxembourg,LUX,70885325883,HIC
Latvia,LVA,34409229178,HIC
"Macao SAR, China",MAC,55084050790,HIC
St. Martin (French part),MAF,,HIC
Monaco,MCO,7184844193,HIC
Malta,MLT,14553422929,HIC
Northern Mariana Islands,MNP,1323000000,HIC
Mauritius,MUS,14220348673,HIC
New Caledonia,NCL,,HIC
Netherlands,NLD,9.14E+11,HIC
Norway,NOR,4.34E+11,HIC
Nauru,NRU,125628504.3,HIC
New Zealand,NZL,2.05E+11,HIC
Oman,OMN,79276723017,HIC
Panama,PAN,65055100000,HIC
Palau,PLW,283994900,HIC
Poland,POL,5.86E+11,HIC
Puerto Rico,PRI,1.01E+11,HIC
Portugal,PRT,2.41E+11,HIC
French Polynesia,PYF,,HIC
Qatar,QAT,1.91E+11,HIC
Romania,ROU,2.40E+11,HIC
Saudi Arabia,SAU,7.87E+11,HIC
Singapore,SGP,3.64E+11,HIC
San Marino,SMR,,HIC
Slovak Republic,SVK,1.06E+11,HIC
Slovenia,SVN,54007972106,HIC
Sweden,SWE,5.56E+11,HIC
Sint Maarten (Dutch part),SXM,,HIC
Seychelles,SYC,1590180446,HIC
Turks and Caicos Islands,TCA,1022312010,HIC
Trinidad and Tobago,TTO,23808146748,HIC
Uruguay,URY,59596885024,HIC
United States,USA,2.05E+13,HIC
British Virgin Islands,VGB,,HIC
Virgin Islands (U.S.),VIR,,HIC
Afghanistan,AFG,19362969582,LIC
Burundi,BDI,3036931818,LIC
Burkina Faso,BFA,14124775069,LIC
Central African Republic,CAF,2219894702,LIC
"Congo, Dem. Rep.",COD,47227535291,LIC
Eritrea,ERI,,LIC
Ethiopia,ETH,84355604753,LIC
Guinea,GIN,10907214994,LIC
"Gambia, The",GMB,1632823199,LIC
Guinea-Bissau,GNB,1458156026,LIC
Haiti,HTI,9658721169,LIC
Liberia,LBR,3264000000,LIC
Madagascar,MDG,13853432868,LIC
Mali,MLI,17163432832,LIC
Mozambique,MOZ,14717223207,LIC
Malawi,MWI,7064971176,LIC
Niger,NER,9290938457,LIC
"Korea, Dem. People’s Rep.",PRK,,LIC
Rwanda,RWA,9508715596,LIC
Sudan,SDN,40851536134,LIC
Sierra Leone,SLE,4085114794,LIC
Somalia,SOM,4720727278,LIC
South Sudan,SSD,,LIC
Syrian Arab Republic,SYR,,LIC
Chad,TCD,11273115239,LIC
Togo,TGO,5358722983,LIC
Tajikistan,TJK,7522947810,LIC
Uganda,UGA,27461440192,LIC
"Yemen, Rep.",YEM,26914402224,LIC
Angola,AGO,1.06E+11,LMC
Benin,BEN,10354274635,LMC
Bangladesh,BGD,2.74E+11,LMC
Bolivia,BOL,40287647757,LMC
Bhutan,BTN,2446674101,LMC
Cote d'Ivoire,CIV,43007047822,LMC
Cameroon,CMR,38675205293,LMC
"Congo, Rep.",COG,11263682694,LMC
