country,iso3,gdp
Aruba,ABW,
Afghanistan,AFG,19362969582
Angola,AGO,1.05751E+11
Albania,ALB,15102500898
Andorra,AND,3236543909
Arab World,ARB,2.77431E+12
United Arab Emirates,ARE,4.14179E+11
Argentina,ARG,5.19872E+11
Armenia,ARM,12433089919
American Samoa,ASM,636000000
Antigua and Barbuda,ATG,1610574074
Australia,AUS,1.4339E+12
Austria,AUT,4.55286E+11
Azerbaijan,AZE,46939529412
Burundi,BDI,3036931818
Belgium,BEL,5.42761E+11
Benin,BEN,10354274635
Burkina Faso,BFA,14124775069
Bangladesh,BGD,2.74025E+11
Bulgaria,BGR,65132951116
Bahrain,BHR,37746196809
"Bahamas, The",BHS,12424500000
Bosnia and Herzegovina,BIH,20161865419
Belarus,BLR,59662495092
Belize,BLZ,1871203164
Bermuda,BMU,
Bolivia,BOL,40287647757
Brazil,BRA,1.86863E+12
Barbados,BRB,5145000000
Brunei Darussalam,BRN,13567351175
Bhutan,BTN,2446674101
Botswana,BWA,18616018903
Central African Republic,CAF,2219894702
Canada,CAN,1.71334E+12
Central Europe and the Baltics,CEB,1.63291E+12
Switzerland,CHE,7.0514E+11
Channel Islands,CHI,
Chile,CHL,2.98231E+11
China,CHN,1.36082E+13
Cote d'Ivoire,CIV,43007047822
Cameroon,CMR,38675205293
"Congo, Dem. Rep.",COD,47227535291
"Congo, Rep.",COG,11263682694
Colombia,COL,3.31047E+11
Comoros,COM,1177955049
Cabo Verde,CPV,1976814277
Costa Rica,CRI,60130106116
Caribbean small states,CSS,73523538155
Cuba,CUB,1.00023E+11
Curacao,CUW,3127908038
Cayman Islands,CYM,
Cyprus,CYP,24961988663
Czech Republic,CZE,2.45226E+11
Germany,DEU,3.94762E+12
Djibouti,DJI,2955912228
Dominica,DMA,550892592.6
Denmark,DNK,3.55675E+11
Dominican Republic,DOM,85555390387
Algeria,DZA,1.73758E+11
East Asia & Pacific (excluding high income),EAP,1.62845E+13
Early-demographic dividend,EAR,1.16389E+13
East Asia & Pacific,EAS,2.59424E+13
Europe & Central Asia (excluding high income),ECA,3.4107E+12
Europe & Central Asia,ECS,2.30684E+13
Ecuador,ECU,1.08398E+11
"Egypt, Arab Rep.",EGY,2.50895E+11
Euro area,EMU,1.36466E+13
Eritrea,ERI,
Spain,ESP,1.41904E+12
Estonia,EST,30732144529
Ethiopia,ETH,84355604753
European Union,EUU,1.87681E+13
Fragile and conflict affected situations,FCS,8.41433E+11
Finland,FIN,2.76743E+11
Fiji,FJI,5536759659
France,FRA,2.77754E+12
Faroe Islands,FRO,
"Micronesia, Fed. Sts.",FSM,401932279
Gabon,GAB,16853589311
United Kingdom,GBR,2.8553E+12
Georgia,GEO,17599660629
Ghana,GHA,65556464048
Gibraltar,GIB,
Guinea,GIN,10907214994
"Gambia, The",GMB,1632823199
Guinea-Bissau,GNB,1458156026
Equatorial Guinea,GNQ,13432377050
Greece,GRC,2.18032E+11
Grenada,GRD,1185925926
Greenland,GRL,
Guatemala,GTM,78460447920
Guam,GUM,5920000000
Guyana,GUY,3878662621
High income,HIC,5.42057E+13
"Hong Kong SAR, China",HKG,3.62682E+11
Honduras,HND,23969890431
Heavily indebted poor countries (HIPC),HPC,7.29218E+11
Croatia,HRV,60971699315
Haiti,HTI,9658721169
Hungary,HUN,1.57883E+11
IBRD only,IBD,3.04732E+13
IDA & IBRD total,IBT,3.2695E+13
IDA total,IDA,2.22947E+12
IDA blend,IDB,9.93778E+11
Indonesia,IDN,1.04217E+12
IDA only,IDX,1.2358E+12
Isle of Man,IMN,
India,IND,2.71873E+12
Not classified,INX,
Ireland,IRL,3.82487E+11
"Iran, Islamic Rep.",IRN,
Iraq,IRQ,2.24228E+11
Iceland,ISL,25878475760
Israel,ISR,3.70588E+11
Italy,ITA,2.08386E+12
Jamaica,JAM,15713908816
Jordan,JOR,42231295775
Japan,JPN,4.97132E+12
Kazakhstan,KAZ,1.7934E+11
Kenya,KEN,87908262520
Kyrgyz Republic,KGZ,8092836609
Cambodia,KHM,24542474061
Kiribati,KIR,188284518.8
St. Kitts and Nevis,KNA,1010822222
"Korea, Rep.",KOR,1.61942E+12
Kuwait,KWT,1.40645E+11
Latin America & Caribbean (excluding high income),LAC,5.20464E+12
Lao PDR,LAO,17953786416
Lebanon,LBN,56639155556
Liberia,LBR,3264000000
Libya,LBY,48364208571
St. Lucia,LCA,1921848222
Latin America & Caribbean,LCN,5.80058E+12
Least developed countries: UN classification,LDC,1.06464E+12
Low income,LIC,5.8823E+11
Liechtenstein,LIE,
Sri Lanka,LKA,88900770858
Lower middle income,LMC,6.70206E+12
Low & middle income,LMY,3.17362E+13
Lesotho,LSO,2738786278
Late-demographic dividend,LTE,2.21832E+13
Lithuania,LTU,53429066429
Luxembourg,LUX,70885325883
Latvia,LVA,34409229178
"Macao SAR, China",MAC,55084050790
St. Martin (French part),MAF,
Morocco,MAR,1.17921E+11
Monaco,MCO,7184844193
Moldova,MDA,11443671436
Madagascar,MDG,13853432868
Maldives,MDV,5327457150
Middle East & North Africa,MEA,3.61054E+12
Mexico,MEX,1.2207E+12
Marshall Islands,MHL,221278000
