"","ISO_3digit","country","gdp_perc"
"12","AFG","afghanistan","(1.5,1.75]"
"16","AGO","angola","(0.25,0.5]"
"27","ALB","albania","(0.25,0.5]"
"46","ARG","argentina","(0.25,0.5]"
"53","ARM","armenia","(0.25,0.5]"
"68","AZE","azerbaijan","(0.25,0.5]"
"83","BDI","burundi",NA
"94","BEN","benin","(1.25,1.5]"
"114","BFA","burkinafaso","(1,1.25]"
"122","BGR","bulgaria","(0.25,0.5]"
"139","BIH","bosniaandherzegovina","(0,0.25]"
"144","BLR","belarus","(0.25,0.5]"
"156","BLZ","belize","(0.5,0.75]"
"168","BOL","bolivia","(0.25,0.5]"
"184","BRA","brazil","(0.25,0.5]"
"194","BTN","bhutan","(0.25,0.5]"
"207","BWA","botswana","(0.25,0.5]"
"225","CHN","china","(0.25,0.5]"
"241","CIV","coted'ivoire","(0.25,0.5]"
"245","CMR","cameroon","(0.75,1]"
"265","COD","congo,dem.rep.","(1.25,1.5]"
"277","COG","congo,rep.","(0.25,0.5]"
"282","COL","colombia","(0.25,0.5]"
"297","CRI","costarica","(0.25,0.5]"
"316","DJI","djibouti","(0.25,0.5]"
"320","DOM","dominicanrepublic","(0,0.25]"
"334","DZA","algeria","(0.5,0.75]"
"346","ECU","ecuador","(0.25,0.5]"
"357","EGY","egypt,arabrep.","(0.25,0.5]"
"371","ETH","ethiopia","(1.5,1.75]"
"383","FJI","fiji","(0,0.25]"
"398","GAB","gabon","(0.25,0.5]"
"409","GEO","georgia","(0.25,0.5]"
"422","GHA","ghana","(0.5,0.75]"
"443","GMB","gambia,the","(1,1.25]"
"455","GNB","guinea-bissau","(1,1.25]"
"460","GTM","guatemala","(0.25,0.5]"
"482","GUY","guyana","(0,0.25]"
"486","HND","honduras","(0.25,0.5]"
"501","HTI","haiti",NA
"511","IDN","indonesia","(0.25,0.5]"
"527","IND","india","(0.75,1]"
"558","IRQ","iraq","(0,0.25]"
"567","JAM","jamaica","(0.25,0.5]"
"576","JOR","jordan","(0.25,0.5]"
"594","KAZ","kazakhstan","(0.25,0.5]"
"602","KEN","kenya","(0.5,0.75]"
"614","KGZ","kyrgyzrepublic","(0.75,1]"
"626","KHM","cambodia","(0.75,1]"
"640","LAO","laopdr","(0.25,0.5]"
"652","LBR","liberia",NA
"665","LBY","libya","(0.25,0.5]"
"679","LKA","srilanka","(0.25,0.5]"
"689","LSO","lesotho","(0.75,1]"
"704","MAR","morocco","(0.25,0.5]"
"717","MDA","moldova","(0.25,0.5]"
"730","MDG","madagascar",NA
"746","MEX","mexico","(0.25,0.5]"
"762","MLI","mali","(0.75,1]"
"775","MMR","myanmar","(0.5,0.75]"
"783","MNE","montenegro","(0.25,0.5]"
"792","MNG","mongolia","(0.5,0.75]"
"811","MOZ","mozambique","(1.5,1.75]"
"823","MWI","malawi",NA
"831","MYS","malaysia","(0.25,0.5]"
"840","NAM","namibia","(0.5,0.75]"
"854","NGA","nigeria","(0.75,1]"
"864","NIC","nicaragua","(0.5,0.75]"
"886","NPL","nepal","(0.75,1]"
"894","PAK","pakistan","(1,1.25]"
"906","PER","peru","(0.25,0.5]"
"919","PHL","philippines","(0.5,0.75]"
"930","PNG","papuanewguinea","(0.25,0.5]"
"946","PRY","paraguay","(0.5,0.75]"
"963","ROU","romania","(0.25,0.5]"
"975","RUS","russianfederation","(0.25,0.5]"
"985","RWA","rwanda",NA
"1004","SDN","sudan(the)","(0.75,1]"
"1008","SEN","senegal","(0.75,1]"
"1029","SLB","solomonislands","(0.25,0.5]"
"1041","SLE","sierraleone","(1.5,1.75]"
"1047","SLV","elsalvador","(0.25,0.5]"
