Year,Month,Country,Original Recipient,Type,Gen.,Price Paid (USDm),Term (Years),Band Paired,Band Unpaired,Block Paired,Block Unpaired,Range Paired,Range Unpaired,Note,Other Details,Region,bandwidth_mhz,usd_per_mhz,population,usd_per_mhz_per_pop
2016,Jun,Pakistan,Telenor Pakistan,LTE,4G,395,15,850,,2x10,,824-834/869-879,,,,Asia & Pacific,20,"50,633",212200000,0.000238609
2010,Jul,Mexico,Nextel de Mexico,LTE,4G,969.17,20,1700,,3 2x5 blocks,,,,,,Latin America & Caribbean,30,"30,954",126200000,0.00024528
2014,Apr,Pakistan,China Mobile Pakistan (CMPak/Zong),W-CDMA,3G,306.92,15,2100,,2x10,,1920-1930/2110-2120,,,,Asia & Pacific,20,"65,164",212200000,0.000307086
2014,Apr,Pakistan,"Pakistan Mobile Communications Limited (PMCL, Mobilink)",W-CDMA,3G,300.9,15,2100,,2x10,,1940-1950/2130-2140,,Jazz,,Asia & Pacific,20,"66,467",212200000,0.000313229
2017,Jun ,Pakistan,Pakistan Mobile Communications Limited (PMCL),LTE,4G,295,15,1800,,2x10,,1765-1775/1860-1870,,Jazz,,Asia & Pacific,20,"67,797",212200000,0.000319494
2014,Apr,Pakistan,Pakistan Telecommunications Mobile Limited (PTML/Ufone),W-CDMA,3G,147.5,15,2100,,2x5,,1935-1940/2125-2130,,,,Asia & Pacific,10,"67,797",212200000,0.000319494
2014,Apr,Pakistan,Telenor Pakistan,W-CDMA,3G,147.5,15,2100,,2x5,,1930-1935/2120-2125,,,,Asia & Pacific,10,"67,797",212200000,0.000319494
2016,Feb,Mexico,Telcel (Radiomovil Dipsa),LTE,4G,1677,15,1700,,2x20 + 2x20,,1710-1730/2110-2130 + 1760-1780/2160-2180,,AWS-1 + AWS-3,"Bands H, I and J",Latin America & Caribbean,80,"47,704",126200000,0.000378005
2014,Apr,Pakistan,Pakistan Telecommunications Mobile Limited (PTML/Ufone) ,GSM,2G,291,15,"900, 1800",,"2x7.6, 2x6",,"94.9-902.5/939.9-947.5, 1718.9-1724.9/1813.9-1819.9",,Renewal,,Asia & Pacific,27.2,"93,471",212200000,0.000440484
2004,Apr,Pakistan,Telenor Pakistan,GSM,2G,290,15,"900, 1800",,"2x4.8, 2x8.8",,"902.5-907.3/947.5-952.3, 1724.9-1733.7/1819.9-1828.7",,,,Asia & Pacific,27.2,"93,793",212200000,0.000442003
2004,Apr,Pakistan,Warid Telecom,GSM,2G,290,15,"900, 1800",,"2x4.8, 2x2.7, 2x6.1",,"890.1-894.9/935.1-939.9, 1762.3-1765/1857.3-1860, 1775-1781.1/1870-1876.1",,Jazz,,Asia & Pacific,27.2,"93,793",212200000,0.000442003
2003,Feb,Pakistan,Paktel (now Zong),GSM,2G,290,15,"900, 1800",,"2x7.6, 2x6",,"882.5-890.1/927.5-935.1, 1739.7-1745.7/1834.7-1840.7",,"Renewal, effective from October 2004",,Asia & Pacific,27.2,"93,793",212200000,0.000442003
2014,Apr,Pakistan,China Mobile Pakistan (CMPak/Zong),LTE,4G,210,15,1800,,2x10,,1745.7-1755.7/1840.7-1850.7,,,,Asia & Pacific,20,"95,238",212200000,0.000448813
2016,Feb,Mexico,AT&T Mexico,LTE,4G,687.1,15,1700,,2x25,,1730-1755/2130-2155,,AWS-1,,Latin America & Caribbean,50,"72,770",126200000,0.000576621
2010,Jul,Mexico,Telcel (Radiomovil Dipsa),LTE,4G,872.8,20,1700,,21 2x5 blocks ,,,,Nationwide,Bands A and B; awarded Oct-10,Latin America & Caribbean,210,"240,605",126200000,0.001906537
2016,May,Peru,Movistar Peru,LTE,4G,315,20,700,,2x15,,733-748/788-803,,,,Latin America & Caribbean,30,"95,238",31990000,0.002977121
2016,May,Peru,Claro Peru,LTE,4G,306,20,700,,2x15,,718-733/773-788,,,,Latin America & Caribbean,30,"98,039",31990000,0.003064683
2016,May,Peru,Entel Peru,LTE,4G,290.21,20,700,,2x15,,703-718/758-773,,,,Latin America & Caribbean,30,"103,373",31990000,0.003231429
