year,Month,Country,Original Recipient,Type,Gen.,Price Paid (USDm),Term (Years),Band Paired,Band Unpaired,Block Paired,Block Unpaired,Range Paired,Range Unpaired,Note,Other Details,Region,edit_manual
2016,Nov,Mayotte,BJT Partners,Open,4G,,9,1800,,2x0.2,,1760.2-1760.4/1845.2-1845.4,,,16-1528,Africa,No
2020,Feb,Tanzania,Airtel Tanzania,Open,2G/3G/4G,12,,700,,2x10,,,,Valid from Jun-20,,Africa,No
2019,Dec,Tanzania,Millicom Tanzania,Open ,2G/3G/4G,12,15,800,,2x10,,,,Former Telesis spectrum,,Africa,No
2019,Oct,Tanzania,Airtel Tanzania,Open,2G/3G/4G,,,1800,,2x10,,,,Former SNT spectrum,,Africa,No
2019,Mar,Kenya,Jamii Telecommunications (JTL),LTE,4G,,,700,,2x10,,,,Trial licence upgraded to full licence,,Africa,No
2018,Jun,Tanzania,Azam Telecom,Open,2G/3G/4G,10,15,700,,2x10,,713-723/768-778,,,,Africa,No
2018,Jun,Tanzania,Vodacom Tanzania,Open,2G/3G/4G,10,15,700,,2x10,,703-713/758-768,,,,Africa,No
2018,Jan,Kenya,Airtel,LTE,4G,25,10,800,,2x10,,,,,,Africa,No
2017,Mar,Benin,MTN Benin,Open,4G,,15,850,,2x10,,,,Former CDMA fixed-wireless spectrum,,Africa,No
2017,Mar,Benin,Moov Benin,Open,4G,,16,850,,2x10,,,,Former CDMA fixed-wireless spectrum,,Africa,No
2017,,Burundi,Viettel Burundi (Lumitel),Open,3G/4G,,,700,,2x10,,,,,,Africa,No
2016,Dec,Kenya,Safaricom,LTE,4G,,10,800,,2x10,,,,,,Africa,No
2016,Nov,Mayotte,Orange,Open,4G,,20,800,,2x10,,811-821/852-862,,,16-1524,Africa,No
2016,Nov,Mayotte,SRR,Open,4G,,20,800,,2x10,,801-811/842-852,,,16-1525,Africa,No
2016,Nov,Mayotte,Telco OI ,Open,4G,,20,800,,2x10,,791-801/832-842,,,16-1526,Africa,No
2016,Nov,Réunion,Orange,Open,4G,,20,800,,2x10,,811-821/852-862,,,2016-1524,Africa,No
2016,Nov,Réunion,SRR,Open,4G,,20,800,,2x10,,801-811/842-852,,,2016-1525,Africa,No
2016,Nov,Réunion,Telco OI,Open,4G,,20,1800,,2x10,,1730-1740/1825-1835,,,2016-1526,Africa,No
2016,Nov,Réunion,Telco OI,Open,4G,,20,800,,2x10,,791-801/832-842,,,2016-1526,Africa,No
2016,Sep,Algeria,Algerie Telecom Mobile (Mobilis),LTE,4G,43.4,15,1800,,2x10,,1752.9-1762.9/1847.9-1857.9,,,,Africa,No
2016,Sep,Algeria,Optimum Telecom Algerie (Djezzy),LTE,4G,34.7,15,1800,,2x10,,1734.9-1744.9/1829.9-1839.9,,,,Africa,No
2016,Sep,Algeria,Wataniya Telecom Algerie (Ooredoo),LTE,4G,17.3,15,1800,,2x10,,1770.9-1780.9/1865.9-1875.9,,,,Africa,No
2016,Sep,Kenya,Jamii Telecommunications (JTL),LTE,4G,,,700,,2x10,,,,Trial licence,,Africa,No
2015,Dec,Ghana,MTN,LTE,4G,67.5,15,800,,2x10,,811-821/852-862,,,,Africa,No
