"","iso3","country","year","Price.Paid..USDm.","length","Band.Paired","bandwidth","price","dollar_per_mhz","dollar_per_mhz_per_single_year","Cluster","population","dollar_per_mhz_per_pop_per_single_year","metric"
"1","AFG","Afghanistan",2012,"25",15,2100,20,2.5e+07,1250000,83333.3333333333,"C1",37172386,0.002241807489391,"Capacity Spectrum"
"2","AFG","Afghanistan",2013,"25",15,2100,20,2.5e+07,1250000,83333.3333333333,"C1",37172386,0.002241807489391,"Capacity Spectrum"
"3","AFG","Afghanistan",2012,"25",15,2100,20,2.5e+07,1250000,83333.3333333333,"C1",37172386,0.002241807489391,"Capacity Spectrum"
"4","AFG","Afghanistan",2014,"25",15,2100,20,2.5e+07,1250000,83333.3333333333,"C1",37172386,0.002241807489391,"Capacity Spectrum"
"5","AFG","Afghanistan",2012,"25",15,2100,20,2.5e+07,1250000,83333.3333333333,"C1",37172386,0.002241807489391,"Capacity Spectrum"
"6","ALB","Albania",2016,"2.4",15,2100,20,2400000,120000,8000,"C4",2866376,0.00279098066687692,"Capacity Spectrum"
"7","ALB","Albania",2012,"5.21",15,2100,30,5210000,173666.666666667,11577.7777777778,"C4",2866376,0.00403916924289688,"Capacity Spectrum"
"8","ALB","Albania",2015,"3.21",15,2600,40,3210000,80250,5350,"C4",2866376,0.00186646832097394,"Capacity Spectrum"
"9","ALB","Albania",2011,"21.3",15,2100,30,21300000,710000,47333.3333333333,"C4",2866376,0.0165133022790218,"Capacity Spectrum"
"10","ALB","Albania",2016,"2.4",15,2600,40,2400000,60000,4000,"C4",2866376,0.00139549033343846,"Capacity Spectrum"
"11","ALB","Albania",2015,"3.5",15,2600,40,3500000,87500,5833.33333333333,"C4",2866376,0.00203509006959775,"Capacity Spectrum"
"12","ALB","Albania",2010,"43.79",15,2100,30,43790000,1459666.66666667,97311.1111111111,"C4",2866376,0.0339491787229279,"Capacity Spectrum"
"13","ALB","Albania",2019,"8.4",15,800,20,8400000,420000,28000,"C4",2866376,0.00976843233406922,"Coverage Spectrum"
